标题,策略,自然,经济,社会,政治,文化,图,文,物,场,演,媒,事,业,相关主体,描述,关联项
工博玻璃瓶 ,全链,环保公益,回收工业,,,,,,工业垃圾再生材料,,,,事件,,@观众@上海工业博物馆 ,"1、通过扫描收集玻璃瓶身的二维码
获得这一件产品的来世今生并将玻璃瓶放入回收机器进行回收
2、有无法再次使用的玻璃瓶可以进行标注
成为工博盆栽的容器
同样可以扫描二维码查看它的一生
以及它经历了多少位“主人”
打造工博森林","《收集癖》
《工博森林》"
金属定食 ,全链,食物,食品工业,,,,,,实物,,,,,,@上海工业博物馆,"扮演一个机器，一盘金属零件都是饭

试试尝一尝不同金属的味道：金属嗦丢",
厕所与现代性,全链,卫生基础设施,卫生经济,,,,,,,,,,,,,"城市卫生是现代性的重要组成部分
以厕所为线索
理解工业
",
当日达与SKU：微型物流仓库 ,全链,,"物流系统
仓储系统",物联网,,,,,,存储仓库,,,物流管理系统,,@顺风快递@上海工业博物馆,"工博馆自身可以设置一个物流管理仓库
将储物处改成一个物流仓库，管理对象是游客存储的物品

仓库的一面可以是一面巨大的玻璃幕墙，人们可以通过玻璃看到里面的管理流程和秩序，体验当今物流管理

部分流程用机器人进行管理",
数字工博身份系统：工博蚁巢,,,积分货币,乌托邦,数字工博,,,,,,,线上网站,,工博身份系统,@观众@上海工业博物馆 ,"1、蚁巢分工明确，有蚁后、工蚁、兵蚁等工种
作为一个自发形成的社群，蚁巢是一个理想的共和主义乌托邦2、将蚁巢的运作概念植入工博的身份系统
建立一个线上的数字工博蚁巢
3、蚁巢的概念也可以被运用在空间设计中","《积分系统》
《人群身份认证》
《空间设计》"
工博社区：3d传真,全链,,3d打印技术,,,,,,3d打印,,造物过程,,,,@摩登上海@百联,"1、大家制作工博的小装饰小礼物，把3d模型发到传真机上
2、线下的观众在传真窗口接收到来自3d打印机打印出来的
来自全球各地的礼物或周边","《工博蚁巢》
《收集癖》"
工博塑料垃圾回收再利用,全链,,材料回收                 循环经济,,,,,,工博文创,,,,,,"@上海工业博物馆@中国物资再生协会
@中国石油化工循环经济研究院","可在固定地点投放塑料制品回收点
回收博物馆塑料制品进行回收再利用
制作成工博专属文创",
管道餐厅,,,工业毛细血管,,,,,,,,,,,,@中央印书局 @百联," 1、管道作为工业系统的毛细血管
最早担任传递实体信息的作用
模拟以前的管道传递方式传递食物和饮品
2、工博的农田>>>工博的餐厅（全链）
",《收集癖》
盲盒：国技 ,全链,,国家技术,,,,,,盲盒,,,,,劳模综艺,@人工宝石@百联 @上海劳模馆,"1、人工宝石也可以放进盲盒
2、盒身用技术科普作为外包装
","《人工宝石》
《收集癖》"
盲盒：重器,全链,,国之重器,,,,,,盲盒,,,,,重器综艺,@国之重器@摩登上海@百联,"1、联合万吨水压机，把万吨水压机压制的硬币放进盲盒。
2、盒身用重器作为外包装，阐述产品和机械的关系。
","《国之重器》
《收集癖》"
盲盒：工业蛋糕,全链,,食品工业,,,食玩,,,包装/造物,,,,,,@摩登上海@百联,"1、在展览中为展品量身定制一个迷你版的工业甜品
2、观众可以吃掉刚刚看到的展品
3、一万个螺丝钉也可以作为蛋糕甜品的形式出现
","《管道餐厅》
《一万个螺丝》"
杯水计划,全链,,回收材料,,,环保主义,,,,,,,,,,"工博馆里喝不完的瓶装水
水和瓶子
有一个专门的处理装置",
秀场：公路,全链,,新零售,,,时尚工业,,,,秀场,工业主题,多媒体投放/综艺,,,@综艺工业@摩登上海@百联,"1、公路主题秀场，公路作为消费传播端的重要链接，
可以用来链接生产与传播两个节点。
2、参考M家经典公路秀。","《up主计划》
《综艺工业》"
工博IP,全链,,符号消费,,,,,,,,,,,,@观众@上海工业博物馆 ,"1、为工博设计一款有指向性的IP
 2、IP某个特征可以用来标记方向
 3、可以用来在线上打造数字换装等活动","《机动博物商店》
《工业物流》
《管道餐厅》
《up主计划》"
汉字突围2：打字机邮局,全链,,工业印刷,,,中文打字机,,,,,,,手打书信/邮局寄信,,@中国邮政@上海印刷集团@上海印刷技术研究所,"人们用打字机
用手打出书信
可以让邮局寄送出去
或者保留这份自己在纸面上创造出的文字

特定节日
人们用打字机打出自己的祝福
再让工博馆发送出去
对象可以是儿童
老人
学生
......",
工业·秀场 ,全链,环保主义,"新零售
服装工业",社会娱乐,,时尚工业,,,国潮焕新,秀场,走秀,,,"培养工业时尚设计师/
线下商店",@机动博物商店@百联 ,"1、工业成为一种时尚
以工业为主题打造秀场
2、每个工博纪念日为秀场发行日
根据展项联合设计师打造秀场以及对应产品
打造秀场日·纪念日·购物日
3、可以上线一款综艺节目
结合线下商店","《up主计划》
《机动博物商店》"
收集狂人,全链,,消费与收集癖,,,,,,周边,,,,,,@观众@上海工业博物馆 ,"1、收集各种形态的工博周边
附带产品生产的链条信息
2、工博玻璃瓶（饮品类）
在管道餐厅使用可回收的玻璃瓶
记载产品生产链条
3、工博小卡（食品零售类）
收集小卡片",《兑货券>>积分系统》
造物机械+艺术家驻留 ,全局,,工业遗产,景观性,,,,,机械装置,,,,,展示生产过程,@青山村,工人志愿者操作生产机器，配合艺术家驻留机制，将物品的生产与创意过程作为展示的一环，博购一体。,
众筹：工业4.0孵化 ,全局,,全球技术转移,,,工业文明互鉴/数字工博/数据库,,,,,,互动网页,,众筹,,数字公博平台用户个性化功能，众酬玩法。以工业交响科普程序为基础，选择一个门类或一项技术重点关注，在时空可视化界面深度了解其历史迁移痕迹与实时发展发展动态。不同众酬档位，享受不同限度的数据库访问权。共享已被整合的相关资源，配合AI助理进行从数据库资源到用户产出的转化。叠加时空、事件、超链接。,《工业交响》
